Start... Grid search and Cross validation

LogisticRegression
params                                                                mean_test_score(%)
------------------------------------------------------------------  --------------------
{'C': 2, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}               81.0461
{'C': 2, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}                   81.0461
{'C': 2, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}               82.7394
{'C': 3, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}                    83.5904
{'C': 3, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 300, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 300, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 300, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 300, 'penalty': 'l2', 'solver': 'lbfgs'}                    82.3138
{'C': 3, 'max_iter': 300, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}                    82.3227
{'C': 3, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 600, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 600, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 600, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 600, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 600, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4628
{'C': 3, 'max_iter': 600, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 700, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 700, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 700, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 700, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 700, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.8883
{'C': 3, 'max_iter': 700, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 800, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 800, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 800, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 800, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 800, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 3, 'max_iter': 800, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 900, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 3, 'max_iter': 900, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 3, 'max_iter': 900, 'penalty': 'l1', 'solver': 'liblinear'}                82.3227
{'C': 3, 'max_iter': 900, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 3, 'max_iter': 900, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 3, 'max_iter': 900, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 3, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}              nan
{'C': 3, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}                  nan
{'C': 3, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}               82.3227
{'C': 3, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}               81.0461
{'C': 3, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}                   81.0461
{'C': 3, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}               81.8972
{'C': 4, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.8972
{'C': 4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 300, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 300, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 300, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 300, 'penalty': 'l2', 'solver': 'lbfgs'}                    82.3227
{'C': 4, 'max_iter': 300, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4716
{'C': 4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 600, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 600, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 600, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 600, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 600, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 4, 'max_iter': 600, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 700, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 700, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 700, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 700, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 700, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4716
{'C': 4, 'max_iter': 700, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 800, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 800, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 800, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 800, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 800, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 4, 'max_iter': 800, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 900, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 4, 'max_iter': 900, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 4, 'max_iter': 900, 'penalty': 'l1', 'solver': 'liblinear'}                81.4716
{'C': 4, 'max_iter': 900, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 4, 'max_iter': 900, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 4, 'max_iter': 900, 'penalty': 'l2', 'solver': 'liblinear'}                81.8972
{'C': 4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}              nan
{'C': 4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}                  nan
{'C': 4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}               81.4716
{'C': 4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}               81.0461
{'C': 4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}                   81.0461
{'C': 4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}               81.8972

kNN
params                                                                                         mean_test_score(%)
-------------------------------------------------------------------------------------------  --------------------
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}                      56.1082
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}                     56.1082
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}                      56.9238
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}                     56.1082
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}                      60.328
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}                     59.8936
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}                      60.7535
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}                     59.8936
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}                      62.4291
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}                     62.4113
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}                      60.3014
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}                     60.3369
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}                      62.8457
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}                     62.8369
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}                      62.8457
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}                     62.4113
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}                      65.3812
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}                     64.0957
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}                     62.8369
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}                    64.0869
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}                     63.2713
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}                    63.6702
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}                     62.8546
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}                    63.6791
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}                     64.1223
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}                    61.5603
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}                     64.9379
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}                    64.0957
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}                     62.828
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}                    62.8191
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}                     64.9557
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'distance'}                    62.828
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'uniform'}                     62.8546
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}                    63.2535
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}                     60.3191
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}                    62.828
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}                     60.7358
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}                    61.9681
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 20, 'weights': 'uniform'}                     63.2713
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 20, 'weights': 'distance'}                    63.2358
